"name","parents","children","actionable","integratedReturn","roi","exponented","integratedInvestment","childrenHourInvestmentTotal"
"ハリアー？","better_transportation:0.2,pknksuper:0.15,irradation:-0.2","money:10","true","-906705.1011029169","-90670.51011029168","NaN","10.0","0.0"
"nodepad2usecase","nodepad2uml:0.2","hour:16","true","-255413.961976472","-159633.72623529498","NaN","1.6","16.0"
"text2flowchart","kaizen_UML:0.2","hour:16","true","-576408.702875472","-360255.43929716997","NaN","1.6","16.0"
"text2usecases","kaizen_UML:0.2","hour:16","true","-576408.702875472","-360255.43929716997","NaN","1.6","16.0"
"markdown2bctodomail","better_tasking:0.1","hour:3","true","-21894.882259776005","-72982.94086592","NaN","0.30000000000000004","3.0"
"markdown2bctodolist","better_tasking:0.1","hour:3","true","-21894.882259776005","-72982.94086592","NaN","0.30000000000000004","3.0"
"request2bctodos","better_tasking:0.1","hour:3","true","-21894.882259776005","-72982.94086592","NaN","0.30000000000000004","3.0"
"better_eyebow","better_face:0.08","hour:8","true","-39105.703151776","-48882.128939719994","NaN","0.8","8.0"
"build_keep_hiring_new_people_essential","build_keep_hiring_new_people:0.4","build_keep_hiring_new_people:0.2","false","-54107.992152736","-67634.99019092","NaN","0.8","40.0"
"better_tasking_text","better_tasking:0.1","hour:4","true","-29260.181466367998","-73150.45366592","NaN","0.4","4.0"
"design_patterns","better_developer_comprehension:0.2","hour:8","true","-58440.953502735996","-73051.19187842","NaN","0.8","8.0"
"better_patternize","better_storyteller:0.2","hour:8","true","-58682.368652736","-73352.96081591999","NaN","0.8","8.0"
"exponented","money_for_1_year:0.3","hour:20","true","-132549.72813184","-66274.86406592","NaN","2.0","20.0"
"essential","exponented:0.5","hour:20","true","-139927.85613184","-69963.92806592","NaN","2.0","20.0"
"better_habituation","eliminate_time:0.15,elimination:0.1","hour:40","true","-159366.22136368","-39841.55534092","NaN","4.0","40.0"
"build_keep_hiring_new_people","better_new_jit:0.1","hour:40","true","-282575.96451368","-70643.99112842","NaN","4.0","40.0"
"kaizen_hiring_template","kaizen_hiring:0.3","hour:40","true","-287390.36601368","-71847.59150342","NaN","4.0","40.0"
"better_new_jit_essential","better_new_jit:0.4","better_new_jit:0.2","false","-393773.93739552","-65628.98956592","NaN","6.0","300.0"
"better_messaging","yearly_hour:0.05,eliminate_communication_cost:0.3","hour:60","true","-434028.19014551997","-72338.03169091999","NaN","6.0","60.0"
"eliminate_time","coming_5_years:0.6","hour:100","true","-640314.8806592","-64031.48806592","NaN","10.0","100.0"
"better_documentation_finding","better_messaging:0.5","hour:70","true","-511626.06333644","-73089.43761949144","NaN","7.0","70.0"
"daily_hour","hour:16","hour:16","false","-117807.667305472","-73629.79206592","NaN","1.6","16.0"
"better_concentration","eliminate_time:0.3,better_conversion:0.3,exponented:0.3","hour:100","true","-702338.5318592001","-70233.85318592002","NaN","10.0","100.0"
"new_os_automation","better_storyteller:0.2","hour:70","true","-515330.91946144","-73618.70278020571","NaN","7.0","70.0"
"better_tasking","better_new_os:0.1","money:10,hour:30","true","-955478.7432569601","-73498.36486592001","NaN","13.0","30.0"
"brain","eliminate_time:0.4,better_conversion:0.6,business:0.6,motivation:0.6","hour:100","true","-608729.3283896","-60872.932838960005","NaN","10.0","100.0"
"brain_essential","brain:0.4","brain:0.2","true","-96185.74722399999","-48092.873611999996","NaN","2.0","100.0"
"auto_brain","eliminate_time:0.5,innovation_ideas:0.5","hour:40","true","-96504.44826367998","-24126.112065919995","NaN","4.0","40.0"
"pknksuper","eliminate.place:0.4,motivation:0.6,brain:0.3,body:0.8","","false","365044.63815588807","0.0","Infinity","0.0","0.0"
"可処分投資","coming_5_years:0.5","","false","80179.20000000001","0.0","Infinity","0.0","0.0"
"follow_deadline","ROOT:10000","","false","10000.0","0.0","Infinity","0.0","0.0"
"innovation_hour","business:0.8","hour:1","false","-7362.499206592","-73624.99206591999","Infinity","0.1","1.0"
"conversion_work_at_higher_rate","money:0.8","hour:1","false","-7364.499206592","-73644.99206591999","Infinity","0.1","1.0"
"business","money:3.5","hour:1","true","-7361.799206592","-73617.99206592","Infinity","0.1","1.0"
"walk_around","pknksuper:0.8","habituation:0.2","true","292035.7105247105","973452.3684157014","1.8698124227440655E223","0.30000000000000004","0.0"
"irradation","複利利子分返済:1,cf1602:1","habituation:0.3","true","4876436.5378","1.0836525639555557E7","4.0125385874149557E189","0.44999999999999996","0.0"
"better_high_te","irradation_dddd:0.1","hour:4","true","263124.995441632","657812.4886040799","5.702679472389156E165","0.4","4.0"
"pknksuper","brain:0.4,eliminate.place:0.4","habituation:0.3","true","196974.36402384003","437720.8089418668","1.4027821507247082E143","0.44999999999999996","0.0"
"better_face_habituation","better_face:0.5","habituation:0.3","true","123854.315631","275231.8125133334","2.6938379328283895E136","0.44999999999999996","0.0"
"wash face outside","better_face:0.2","habituation:0.3","true","49541.7262524","110092.72500533336","1.4645510291160764E123","0.44999999999999996","0.0"
"eliminate.place","irradation:0.05,elimination:0.1","habituation:0.4","true","364635.31779","607725.5296499999","1.1129311024545699E114","0.6000000000000001","0.0"
"essentialize_essential","essentialize:0.3","hour:5","true","-33718.70099296","-67437.40198592","6.856856405641812E105","0.5","5.0"
"dried_foods","nutrition:0.6","habituation:0.4","true","64990.814913705595","108318.02485617598","2.0955574157085346E95","0.6000000000000001","0.0"
"複利利子分返済","可処分投資:0.6,money:100,elimination:0.2","hour:8","true","230912.10814726402","288640.13518408","6.525679531469581E81","0.8","8.0"
"better_gggg_essential","better_gggg:0.3","better_gggg:0.1","true","1426347.00793408","1426347.00793408","2.057680450374582E77","1.0","100.0"
"nutrition","body:0.1,elimination:0.08","hour:8","true","49395.631203439996","61744.53900429999","1.8057603577603774E69","0.8","8.0"
"long_term_cf_plan","elimination:0.2","hour:10","true","167973.98973408","167973.98973408","2.3912807409283017E63","1.0","10.0"
